"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Jan., 2000"	"2000/01"	51	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Feb., 2000"	"2000/02"	34	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Mar., 2000"	"2000/03"	31	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Apr., 2000"	"2000/04"	22	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"May, 2000"	"2000/05"	18	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Jun., 2000"	"2000/06"	18	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Jul., 2000"	"2000/07"	16	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Aug., 2000"	"2000/08"	18	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Sep., 2000"	"2000/09"	23	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Oct., 2000"	"2000/10"	31	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Nov., 2000"	"2000/11"	24	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2000"	"2000"	"Dec., 2000"	"2000/12"	25	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Jan., 2001"	"2001/01"	39	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Feb., 2001"	"2001/02"	26	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Mar., 2001"	"2001/03"	30	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Apr., 2001"	"2001/04"	47	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"May, 2001"	"2001/05"	27	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Jun., 2001"	"2001/06"	27	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Jul., 2001"	"2001/07"	26	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Aug., 2001"	"2001/08"	15	Not Applicable	Not Applicable
	"California"	"06"	"Alameda County, CA"	"06001"	"2001"	"2001"	"Sep., 2001"	"2001/09"	15	Not Applicable	Not Applicable
