This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"ABEI","ABERDEEN",-112.8267,42.9533,1341,"AGRIMET","1"
"AFTY","AFTON",-110.9358,42.7333,1893,"AGRIMET","2"
"AGKO","AGENCY LAKE",-121.9825,42.5653,1265,"AGRIMET","3"
"AHTI","ASHTON",-111.4667,44.0250,1615,"AGRIMET","4"
"ARAO","AURORA",-122.7503,45.2819,43,"AGRIMET","5"
"BANO","BANDON",-124.4172,43.0911,24,"AGRIMET","6"
"BATO","BEATTY",-121.2739,42.4781,1317,"AGRIMET","7"
"BEWO","BEND",-121.3203,44.0475,1113,"AGRIMET","8"
"BKVO","BAKER VALLEY",-117.9636,44.8819,1042,"AGRIMET","9"
"BNDW","BONNEVILLE D",-121.9311,45.6478,24,"AGRIMET","10"
"BOII","BOISE",-116.1861,43.6208,829,"AGRIMET","11"
"BRKO","BROOKINGS",-124.2408,42.0300,24,"AGRIMET","12"
"CEDC","CEDARVILLE",-120.1714,41.5853,1402,"AGRIMET","13"
"CHAW","CHAMOKANE",-117.7392,48.0314,594,"AGRIMET","14"
"CHVO","CHRISTMAS VA",-120.7281,43.2414,1329,"AGRIMET","15"
"CJDW","CHIEF JOSEPH",-119.6356,47.9908,302,"AGRIMET","16"
"COVM","CORVALLIS",-114.0833,46.3333,1096,"AGRIMET","17"
"CRSM","CRESTON",-114.1278,48.1875,899,"AGRIMET","18"
"CRVO","CORVALLIS",-123.1900,44.6342,70,"AGRIMET","19"
"DEFO","DEE FLAT",-121.6472,45.5736,384,"AGRIMET","20"
"DENI","DWORSHAK-DEN",-116.2206,46.6233,506,"AGRIMET","21"
"DRLM","DEER LODGE",-112.7667,46.3356,1426,"AGRIMET","22"
"DTRO","DETROIT LAKE",-122.1792,44.7300,511,"AGRIMET","23"
"ECHO","ECHO",-119.3500,45.7111,232,"AGRIMET","24"
"EURN","EUREKA",-115.9786,39.6853,1797,"AGRIMET","25"
"FAFI","FAIRFIELD",-114.8250,43.3083,1536,"AGRIMET","26"
"FALN","FALLON",-118.7769,39.4581,1209,"AGRIMET","27"
"FOGO","FOREST GROVE",-123.0836,45.5531,55,"AGRIMET","28"
"FTHI","FORT HALL",-112.4311,43.0714,1355,"AGRIMET","29"
"GCDW","GRAND COULEE",-118.9536,47.9453,402,"AGRIMET","30"
"GDVI","GRAND VIEW",-116.0561,42.9125,786,"AGRIMET","31"
"GERW","GEORGE",-119.6422,47.0439,351,"AGRIMET","32"
"GFRI","GLENNS FERRY",-115.3569,42.8667,922,"AGRIMET","33"
"GOLW","GOLDENDALE",-120.8244,45.8119,512,"AGRIMET","34"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET","36"
"HOXO","HOOD RIVER",-121.5181,45.6844,155,"AGRIMET","37"
"HRFO","HEREFORD",-118.0200,44.4881,1097,"AGRIMET","38"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET","39"
"HRMO","HERMISTON (H",-119.2833,45.8194,185,"AGRIMET","40"
"IMBO","IMBLER",-117.9667,45.4333,838,"AGRIMET","41"
"KFLO","KLAMATH FALL",-121.7550,42.1647,1250,"AGRIMET","42"
"KTBI","KETTLE BUTTE",-112.3258,43.5486,1565,"AGRIMET","44"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET","45"
"LBRW","LAKE BRYAN-R",-117.6542,46.6975,192,"AGRIMET","46"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET","47"
"LIDW","LIND",-118.7394,46.8672,450,"AGRIMET","48"
"LORO","LORELLA",-121.2242,42.0778,1268,"AGRIMET","50"
"MALI","MALTA",-113.4139,42.4375,1344,"AGRIMET","51"
"MASW","MANSON",-120.1244,47.9169,601,"AGRIMET","52"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET","53"
"MNTI","MONTEVIEW",-112.5358,44.0150,1480,"AGRIMET","54"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET","55"
