county_name,county_fips,year,month,date,precipitation_total_km3,max_temperature_c
Wahkiakum,069,2000,1,2000-01-01,0.396535125,8.536
Wahkiakum,069,2000,2,2000-02-01,0.19669084374999998,10.657
Wahkiakum,069,2000,3,2000-03-01,0.213708125,11.328
Wahkiakum,069,2000,4,2000-04-01,0.132704953125,16.417
Wahkiakum,069,2000,5,2000-05-01,0.1396766875,17.844
Wahkiakum,069,2000,6,2000-06-01,0.16035973437499998,21.918
Wahkiakum,069,2000,7,2000-07-01,0.009806111328124999,24.272
Wahkiakum,069,2000,8,2000-08-01,0.030078416015624998,24.278
Wahkiakum,069,2000,9,2000-09-01,0.10148765625,22.084
Wahkiakum,069,2000,10,2000-10-01,0.177568125,16.6
Wahkiakum,069,2000,11,2000-11-01,0.13467464062499998,11.298
Wahkiakum,069,2000,12,2000-12-01,0.191875796875,9.984
Wahkiakum,069,2001,1,2001-01-01,0.18268896874999999,10.313
Wahkiakum,069,2001,2,2001-02-01,0.1225624375,10.464
Wahkiakum,069,2001,3,2001-03-01,0.19631412499999998,12.519
Wahkiakum,069,2001,4,2001-04-01,0.18231275,13.338
Wahkiakum,069,2001,5,2001-05-01,0.1360539375,19.313
Wahkiakum,069,2001,6,2001-06-01,0.102178546875,19.928
Wahkiakum,069,2001,7,2001-07-01,0.036346593749999996,22.586
Wahkiakum,069,2001,8,2001-08-01,0.1169736953125,24.759
Wahkiakum,069,2001,9,2001-09-01,0.036398933593749995,22.647
Wahkiakum,069,2001,10,2001-10-01,0.21971420312499998,15.885
Wahkiakum,069,2001,11,2001-11-01,0.49707415624999995,12.388
Wahkiakum,069,2001,12,2001-12-01,0.48250696875,9.106
Wahkiakum,069,2002,1,2002-01-01,0.50645384375,8.682
Wahkiakum,069,2002,2,2002-02-01,0.181698484375,10.329
Wahkiakum,069,2002,3,2002-03-01,0.269343375,10.455
Wahkiakum,069,2002,4,2002-04-01,0.216091171875,14.636
Wahkiakum,069,2002,5,2002-05-01,0.09331221875,16.863
Wahkiakum,069,2002,6,2002-06-01,0.0982646796875,21.256
Wahkiakum,069,2002,7,2002-07-01,0.0057371044921875,25.405
Wahkiakum,069,2002,8,2002-08-01,0.007426064941406249,25.753
Wahkiakum,069,2002,9,2002-09-01,0.045639015625,23.603
Wahkiakum,069,2002,10,2002-10-01,0.03643266015625,17.765
Wahkiakum,069,2002,11,2002-11-01,0.2465494375,13.618
Wahkiakum,069,2002,12,2002-12-01,0.4174488125,10.479
Wahkiakum,069,2003,1,2003-01-01,0.45656784375,12.11
